merchant	variety 
month	situation 
September	impetuosity 
difficulty	island 
goods	habitation 
frigate	method 
impetuosity	manner 
equipage	providences 
Brazil	tobacco 
self-preservation	violence 
expedition	heart 
manner	mountain 
providence	remembrance 
consequences	length 
length	supper 
island	providence 
months	quantity 
heaven	plantation 
Mediator	difficulty 
creature	things 
bough	hearth 
penguins	tobacco 
creatures	quicksand 
expectation	possession 
circumstances	while 
conversation	trunk 
affidavit	midnight 
hawser	might 
affections	island 
island	might 
Providence	cannibal 
creatures	scholar 
Brazils	assistance 
England	Turks 
earthquake	observation 
thing	thoughts 
leopards	person 
England	providence 
affection	quantity 
circumstances	hours 
crimes	impression 
governor	thoughts 
dangers	yards 
heart	inheritance 
beasts	quantity 
England	nations 
America	vessels 
goods	persons 
degrees	might 
England	business 
executioners	things 
Spain	affidavit 
while	wickedness 
acquaintance	servants 
country	island 
beast	revenue 
deceit	homage 
apprehension	horror 
principles	things 
length	quantity 
admiration	island 
language	method 
beast	person 
foundation	island 
manner	she-goat 
miracle	things 
composure	fortune 
baskets	might 
diameter	island 
laziness	things 
horror	servant 
Friday	indignation 
might	religion 
he-goat	thoughts 
family	hostages 
mainland	requital 
enemies	while 
cannibals	vermin 
Providence	manner 
death	negroes 
Scripture	things 
hours	might 
Gascony	miseries 
Bible	negroes 
thoughts	warmth 
manner	tobacco 
Friday	intervals 
composure	dinner 
multitude	passage 
governor	might 
sustenance	years 
hatchets	heart 
family	folly 
business	diameter 
thing	valley 
doors	passions 
imaginations	thoughts 
invention	moment 
America	afternoon 
September	things 
inclination	island 
diversions	packet 
ocean	precautions 
discomposures	wildfire 
hours	knowledge 
assurances	islands 
plantation	things 
Heaven	island 
behaviour	knees 
attention	creek 
muskets	residence 
goods	smith 
England	prisoners 
Providence	angel 
Friday	apprehension 
circumstances	rudder 
creature	religion 
folly	repentance 
convenience	situation 
naturalists	quantity 
abundance	grindstone 
Marias	pistols 
consequence	loaves 
Providence	sustenance 
Friday	hours 
quandary	things 
hatchet	plantation 
deliverances	gunpowder 
might	while 
island	juice 
might	quandary 
Paris	breath 
consultation	patience 
difficulty	grapes 
night	relations 
grapes	smith 
difficulty	thoughts 
manner	night 
osiers	river 
accidents	hearts 
cellar	things 
gunner	pendants 
fellows	hundredweight 
cargo	months 
difficulty	night 
convenience	offence 
grief	might 
knowledge	priestcraft 
Friday	thoughts 
Providence	yards 
Spain	inquiry 
astonishment	neckcloths 
Friday	vines 
excursion	might 
cogitations	might 
thing	things 
acquaintance	wickedness 
might	story 
direction	night 
moment	mountains 
opinion	similitude 
Friday	pleasure 
Friday	repentance 
London	peace 
While	heart 
Dunkirk	equity 
fore-topsail	sequel 
Guinea	years 
month	rites 
teacher	tobacco 
employment	temptation 
friend	misfortune 
repentance	while 
difficulty	scabbard 
England	Friday 
creature	knowledge 
abundance	thankfulness 
death	redemption 
climate	dangers 
history	providence 
might	weeks 
estate	things 
notary	thoughts 
providence	thing 
fellow	years 
carriage	clergy 
Friday	Preserver 
pistol	situation 
cannibals	island 
length	thoughts 
difficulty	things 
might	rollers 
merriment	river 
abundance	wolves 
absence	situation 
knowledge	virtue 
addition	luxury 
creature	wickedness 
fellow	goodness 
Brazils	things 
England	headache 
Friday	speculations 
